Source,Target,Weight
Austria,Others,35.72446894882275
Austria,Serbia,-90.20186574470375
Austria,Turkey,-130.06347004495007
Austria,Syria,-63.658055102204294
Austria,Ukraine,102.57973807174199
Austria,Germany,143.15925573670697
Austria,Romania,-50.52299467675
Austria,Poland,-42.666593086744726
Austria,Afghanistan,-85.53813078160407
Austria,Croatia,-26.226637126382464
Austria,Bosnia and Herzegovina,-55.48003491095478
Austria,Russia,4.019365359169102
Austria,Hungary,-9.442147049320592
Austria,Bulgaria,-45.10375521378623
Austria,Slovakia,-18.95226842437343
Austria,North Macedonia,-57.054828637303586
Austria,Iran,6.336068057344183
Austria,China,-24.864874322902597
Austria,Italy,55.84608595179
Austria,Slovenia,3.2318236363643207
Others,Austria,35.7244689488227
Others,Serbia,-11.61655036214286
Others,Turkey,-52.241544976376005
Others,Syria,10.61148702660575
Others,Ukraine,154.2427938927134
Others,Germany,198.9122542693373
Others,Romania,-19.408918924859005
Others,Poland,-28.09694944621369
Others,Afghanistan,-67.16390229105328
Others,Croatia,-1.5158849569548387
Others,Bosnia and Herzegovina,-22.93253857986741
Others,Russia,41.7605593847385
Others,Hungary,-4.183509627839383
Others,Bulgaria,-0.5184664114971049
Others,Slovakia,-11.501830723492047
Others,North Macedonia,-40.49969139568522
Others,Iran,3.012327854456427
Others,China,-6.45006660514102
Others,Italy,97.4363879169925
Others,Slovenia,13.238984426879306
Serbia,Austria,-90.20186574470378
Serbia,Others,-11.616550362142853
Serbia,Turkey,68.42139528455441
Serbia,Syria,60.34054439080437
Serbia,Ukraine,-23.13756003516645
Serbia,Germany,2.664871008393142
Serbia,Romania,26.16995778037841
Serbia,Poland,0.5787590783982708
Serbia,Afghanistan,-4.586092161137103
Serbia,Croatia,48.06296434734569
Serbia,Bosnia and Herzegovina,49.63071301697054
Serbia,Russia,-50.39252337917543
Serbia,Hungary,-14.004796671877504
Serbia,Bulgaria,38.84488213252909
Serbia,Slovakia,-18.153725133692703
Serbia,North Macedonia,23.00134562647522
