Postal_Code,District,Total_Per_District,Country_Name
1010,Innere Stadt,12096,Austria
1020,Leopoldstadt,70824,Austria
1030,Landstraße,65066,Austria
1040,Wieden,23871,Austria
1050,Margareten,33815,Austria
1060,Mariahilf,22409,Austria
1070,Neubau,23028,Austria
1080,Josefstadt,17429,Austria
1090,Alsergrund,27361,Austria
1100,Favoriten,125648,Austria
1110,Simmering,70555,Austria
1120,Meidling,61475,Austria
1130,Hietzing,43751,Austria
1140,Penzing,69258,Austria
1150,Rudolfsheim-Fünfhaus,43760,Austria
1160,Ottakring,62590,Austria
1170,Hernals,36730,Austria
1180,Währing,37775,Austria
1190,Döbling,54984,Austria
1200,Brigittenau,49693,Austria
1210,Floridsdorf,129319,Austria
1220,Donaustadt,158651,Austria
1230,Liesing,89343,Austria
1010,Innere Stadt,1221,Others
1020,Leopoldstadt,8276,Others
1030,Landstraße,7336,Others
1040,Wieden,2678,Others
1050,Margareten,4170,Others
1060,Mariahilf,2245,Others
1070,Neubau,2153,Others
1080,Josefstadt,2106,Others
1090,Alsergrund,3422,Others
1100,Favoriten,13329,Others
1110,Simmering,6134,Others
1120,Meidling,6359,Others
1130,Hietzing,2327,Others
1140,Penzing,4526,Others
1150,Rudolfsheim-Fünfhaus,5309,Others
1160,Ottakring,5897,Others
1170,Hernals,3191,Others
1180,Währing,2978,Others
1190,Döbling,5209,Others
1200,Brigittenau,6500,Others
1210,Floridsdorf,10348,Others
1220,Donaustadt,12133,Others
1230,Liesing,4327,Others
1010,Innere Stadt,229,Serbia
1020,Leopoldstadt,4926,Serbia
1030,Landstraße,3326,Serbia
1040,Wieden,837,Serbia
1050,Margareten,2884,Serbia
1060,Mariahilf,786,Serbia
1070,Neubau,856,Serbia
1080,Josefstadt,732,Serbia
1090,Alsergrund,1218,Serbia
1100,Favoriten,14465,Serbia
1110,Simmering,6181,Serbia
1120,Meidling,6204,Serbia
1130,Hietzing,1099,Serbia
1140,Penzing,4441,Serbia
1150,Rudolfsheim-Fünfhaus,5787,Serbia
1160,Ottakring,7842,Serbia
1170,Hernals,3708,Serbia
1180,Währing,1410,Serbia
1190,Döbling,1726,Serbia
1200,Brigittenau,5428,Serbia
1210,Floridsdorf,7412,Serbia
1220,Donaustadt,5617,Serbia
1230,Liesing,3938,Serbia
1010,Innere Stadt,85,Turkey
1020,Leopoldstadt,2788,Turkey
1030,Landstraße,1617,Turkey
1040,Wieden,381,Turkey
1050,Margareten,1498,Turkey
1060,Mariahilf,447,Turkey
1070,Neubau,338,Turkey
1080,Josefstadt,280,Turkey
1090,Alsergrund,479,Turkey
1100,Favoriten,12344,Turkey
1110,Simmering,5082,Turkey
1120,Meidling,3979,Turkey
1130,Hietzing,391,Turkey
1140,Penzing,1857,Turkey
1150,Rudolfsheim-Fünfhaus,3012,Turkey
1160,Ottakring,4180,Turkey
1170,Hernals,1350,Turkey
1180,Währing,587,Turkey
1190,Döbling,888,Turkey
1200,Brigittenau,4888,Turkey
1210,Floridsdorf,4631,Turkey
1220,Donaustadt,3743,Turkey
1230,Liesing,2574,Turkey
1010,Innere Stadt,74,Syria
1020,Leopoldstadt,2397,Syria
1030,Landstraße,1590,Syria
1040,Wieden,492,Syria
1050,Margareten,1937,Syria
1060,Mariahilf,309,Syria
1070,Neubau,372,Syria
1080,Josefstadt,183,Syria
1090,Alsergrund,2491,Syria
1100,Favoriten,9293,Syria
1110,Simmering,2767,Syria
1120,Meidling,3177,Syria
1130,Hietzing,595,Syria
1140,Penzing,2464,Syria
1150,Rudolfsheim-Fünfhaus,2582,Syria
1160,Ottakring,3416,Syria
1170,Hernals,1465,Syria
1180,Währing,744,Syria
1190,Döbling,1075,Syria
1200,Brigittenau,2806,Syria
1210,Floridsdorf,3895,Syria
1220,Donaustadt,2591,Syria
1230,Liesing,1705,Syria
1010,Innere Stadt,1184,Ukraine
1020,Leopoldstadt,3169,Ukraine
1030,Landstraße,2859,Ukraine
1040,Wieden,1052,Ukraine
1050,Margareten,1253,Ukraine
1060,Mariahilf,941,Ukraine
1070,Neubau,823,Ukraine
1080,Josefstadt,542,Ukraine
1090,Alsergrund,1202,Ukraine
1100,Favoriten,3073,Ukraine
1110,Simmering,1234,Ukraine
1120,Meidling,1628,Ukraine
1130,Hietzing,1103,Ukraine
1140,Penzing,1505,Ukraine
1150,Rudolfsheim-Fünfhaus,1232,Ukraine
1160,Ottakring,1365,Ukraine
1170,Hernals,829,Ukraine
1180,Währing,1322,Ukraine
1190,Döbling,2077,Ukraine
1200,Brigittenau,1880,Ukraine
1210,Floridsdorf,1901,Ukraine
1220,Donaustadt,2717,Ukraine
1230,Liesing,1000,Ukraine
1010,Innere Stadt,451,Germany
1020,Leopoldstadt,2812,Germany
1030,Landstraße,2811,Germany
1040,Wieden,1141,Germany
1050,Margareten,1622,Germany
1060,Mariahilf,1139,Germany
1070,Neubau,1484,Germany
1080,Josefstadt,1075,Germany
1090,Alsergrund,1923,Germany
1100,Favoriten,1956,Germany
1110,Simmering,781,Germany
1120,Meidling,1348,Germany
1130,Hietzing,1127,Germany
1140,Penzing,1440,Germany
1150,Rudolfsheim-Fünfhaus,1379,Germany
1160,Ottakring,1593,Germany
1170,Hernals,1177,Germany
1180,Währing,1653,Germany
1190,Döbling,1539,Germany
1200,Brigittenau,1291,Germany
1210,Floridsdorf,1662,Germany
1220,Donaustadt,2261,Germany
1230,Liesing,1094,Germany
1010,Innere Stadt,114,Romania
1020,Leopoldstadt,1659,Romania
1030,Landstraße,1688,Romania
1040,Wieden,320,Romania
1050,Margareten,1014,Romania
1060,Mariahilf,302,Romania
1070,Neubau,271,Romania
1080,Josefstadt,228,Romania
1090,Alsergrund,429,Romania
1100,Favoriten,5002,Romania
1110,Simmering,2857,Romania
1120,Meidling,2027,Romania
1130,Hietzing,716,Romania
