Id,X,Y
Afghanistan,16647.638672,25781.25
Austria,18202.492188,-264.707031
Bosnia and Herzegovina,17905.369141,19683.238281
Bulgaria,25781.25,25781.25
China,1923.48291,304.709961
Croatia,23929.242188,15307.547852
Germany,7722.670898,91.466797
Hungary,9229.652344,12020.341797
Iran,2566.151367,5023.451172
Italy,19031.992188,4476.535156
North Macedonia,25781.25,10603.035156
Others,12786.810547,1489.201172
Poland,3824.735352,23242.732422
Romania,11636.286133,25014.259766
Russia,2566.151367,10848.041016
Serbia,21591.363281,23350.761719
Slovakia,12568.748047,6452.244141
Slovenia,757.041016,13875.719727
Syria,25781.25,20588.248047
Turkey,18861.386719,14720.226562
Ukraine,7246.012695,7279.144531
