DISTRICT,<50 M²,51-80 M²,51-129 M²,>130 M²,AVERAGE/M²,Postal_Code
"1., Innere Stadt","23,14","20,27","18,57","19,65","19,44",1010
"2., Leopoldstadt","16,63","14,90","14,03","13,91","14,57",1020
"3., Landstraße","17,75","13,87","14,72","14,20","14,51",1030
"4., Wieden","16,01","13,62","14,11","15,58","14,74",1040
"5., Margareten","15,59","14,60","14,53","16,35","14,84",1050
"6., Mariahilf","15,60","14,11","14,28","14,03","14,27",1060
"7., Neubau","17,63","14,34","14,10","14,87","14,68",1070
"8., Josefstadt","16,29","14,97","14,31","13,78","14,60",1080
"9., Alsergrund","16,73","15,28","14,33","14,51","14,59",1090
"10., Favoriten","15,00","12,96","12,27","10,05","13,23",1100
"11., Simmering","15,32","11,79","11,44","10,60","11,95",1110
"12., Meidling","15,84","13,56","12,92","10,57","13,65",1120
"13., Hietzing","16,07","14,58","13,84","13,72","14,14",1130
"14., Penzing","14,57","12,69","12,17","12,56","12,68",1140
"15., Rudolfsheim-Fünfhaus","13,41","13,21","10,75","11,79","12,66",1150
"16., Ottakring","14,92","12,35","12,52","12,84","12,63",1160
"17., Hernals","12,97","12,70","12,01","12,83","12,51",1170
"18., Währing","13,70","14,94","15,45","15,18","15,12",1180
"19., Döbling","15,46","14,68","15,98","16,42","15,71",1190
"20., Brigittenau","14,22","13,47","12,11",k.A.,"13,21",1200
"21., Floridsdorf","15,08","13,61","12,40","10,56","13,15",1210
"22., Donaustadt","17,74","15,58","15,22","13,84","15,54",1220
"23., Liesing","15,35","12,81","12,90","12,67","13,27",1230
